Group,Affilitation,Year,Vaccine,Target,Vaccinated,Coverage,Unvaccinated
"GVAP Indicator",gavi,1980,bcg,60819406,5984684,10,54834722
"GVAP Indicator",gavi,1981,bcg,61932455,9963715,16,51968740
"GVAP Indicator",gavi,1982,bcg,63007070,10880661,17,52126409
"GVAP Indicator",gavi,1983,bcg,64018091,13158247,21,50859844
"GVAP Indicator",gavi,1984,bcg,64951407,16087102,25,48864305
"GVAP Indicator",gavi,1985,bcg,65798020,19000447,29,46797573
"GVAP Indicator",gavi,1986,bcg,66558466,21445900,32,45112566
"GVAP Indicator",gavi,1987,bcg,67250897,28320691,42,38930206
"GVAP Indicator",gavi,1988,bcg,67893755,30896402,46,36997353
"GVAP Indicator",gavi,1989,bcg,68497416,35998361,53,32499055
"GVAP Indicator",gavi,1990,bcg,69071284,50030245,72,19041039
"GVAP Indicator",gavi,1991,bcg,69622880,46525952,67,23096928
"GVAP Indicator",gavi,1992,bcg,72214522,49620171,69,22594351
"GVAP Indicator",gavi,1993,bcg,72797731,51335616,71,21462115
"GVAP Indicator",gavi,1994,bcg,73255184,52936132,72,20319052
"GVAP Indicator",gavi,1995,bcg,73722619,55772941,76,17949678
"GVAP Indicator",gavi,1996,bcg,74209895,54882683,74,19327212
"GVAP Indicator",gavi,1997,bcg,74719497,52681906,71,22037591
"GVAP Indicator",gavi,1998,bcg,75252862,54125913,72,21126949
"GVAP Indicator",gavi,1999,bcg,75812471,55515315,73,20297156
"GVAP Indicator",gavi,2000,bcg,76403441,56460304,74,19943137
"GVAP Indicator",gavi,2001,bcg,77029300,57235823,74,19793477
"GVAP Indicator",gavi,2002,bcg,77720635,58025571,75,19695064
"GVAP Indicator",gavi,2003,bcg,78387064,59443535,76,18943529
"GVAP Indicator",gavi,2004,bcg,79053825,61615521,78,17438304
"GVAP Indicator",gavi,2005,bcg,79697635,64541023,81,15156612
"GVAP Indicator",gavi,2006,bcg,80293190,65791823,82,14501367
"GVAP Indicator",gavi,2007,bcg,80827141,66911822,83,13915319
"GVAP Indicator",gavi,2008,bcg,81294778,67667091,83,13627687
"GVAP Indicator",gavi,2009,bcg,81698999,69517731,85,12181268
