country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998_unvaccinated,1999_unvaccinated,2000_unvaccinated,2001_unvaccinated,2002_unvaccinated,2003_unvaccinated,2004_unvaccinated,2005_unvaccinated,2006_unvaccinated,2007_unvaccinated,2008_unvaccinated,2009_unvaccinated,2010_unvaccinated,2011_unvaccinated,2012_unvaccinated,2013_unvaccinated,2014_unvaccinated,2015_unvaccinated,2016_unvaccinated,2017_unvaccinated,2018_unvaccinated
Afghanistan,52,52,48,59,62,66,72,76,75,76,75,72,72,78,78,76,73,73,73,73,73,418386,433614,484484,392413,372596,340879,286537,250185,264815,257607,271156,306123,307973,243136,244172,267525,302397,304008,305773,307574,309313
Albania,99,98,98,97,98,97,98,99,98,98,99,99,99,99,99,99,99,99,99,99,99,556,1054,999,1421,898,1278,809,386,743,722,354,351,351,352,353,354,353,350,346,342,337
Algeria,94,92,95,92,93,93,93,94,98,98,97,98,99,99,99,99,99,99,96,95,96,36654,47542,29251,46800,41598,42853,44659,40225,14155,14951,23624,16513,8610,8934,9231,9499,9731,9909,40073,50271,40072
Andorra,96,96,99,96,99,99,99,99,96,96,99,99,99,99,99,96,99,99,99,99,99,27,27,7,27,7,7,7,7,31,32,8,9,8,8,7,25,5,5,5,5,6
Angola,59,51,44,54,60,60,66,50,52,66,81,71,85,79,73,67,69,65,67,61,67,262664,324007,382754,325486,293358,304288,268372,409495,407738,299326,173157,273188,145789,210135,277602,348014,334837,386774,372862,450487,389779
"Antigua and Barbuda",99,99,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,97,96,99,14,15,30,15,30,15,15,15,15,14,14,14,14,15,15,15,15,15,44,59,15
Argentina,96,96,96,96,96,96,99,99,93,94,97,94,95,94,94,94,98,94,97,91,91,28214,28210,28252,28328,28420,28512,7151,7173,50384,43358,21779,43780,36678,44242,44451,44626,14919,44842,22439,67307,67252
Armenia,93,97,97,98,98,98,97,96,95,96,96,97,98,98,98,97,97,97,97,97,96,2854,1175,1151,767,776,791,1212,1650,2101,1707,1728,1307,874,874,872,1301,1292,1280,1265,1246,1631
Australia,84,96,96,97,97,97,97,97,97,97,97,97,97,92,92,92,92,97,98,98,98,39570,9834,9819,7404,7499,7647,7841,8068,8307,8537,8740,8909,9039,24366,24578,24768,24941,9412,6308,6333,6348
Austria,94,93,99,99,99,90,99,99,86,95,94,94,95,96,97,98,99,97,95,94,90,4959,5682,799,790,782,7760,772,769,10751,3844,4628,4653,3908,3160,2402,1626,827,2523,4274,5207,8791
Azerbaijan,81,83,83,83,82,83,84,81,86,87,90,90,94,94,94,95,96,97,98,97,96,26875,23178,22531,22115,23191,21866,20711,24977,18883,18150,14540,15182,9497,9848,10133,8606,6946,5199,3424,5032,6540
Bahamas,96,96,99,99,99,99,99,99,95,98,99,99,99,99,99,99,96,99,95,98,94,224,216,52,50,49,49,49,49,251,102,52,52,53,53,53,53,211,53,266,107,322
Bahrain,98,99,98,99,99,99,99,99,99,97,98,98,99,99,99,99,98,98,99,98,99,283,144,294,150,155,159,164,170,175,541,372,383,196,201,205,208,422,427,215,433,218
Bangladesh,89,91,92,94,95,93,99,97,97,98,99,99,98,99,97,98,99,99,99,99,99,362680,296664,263263,196741,163029,226506,32055,95130,94029,61950,30626,30307,60054,29788,88742,58787,29222,29061,28904,28747,28583
Barbados,96,95,93,92,92,91,97,97,94,93,85,93,94,95,96,97,98,99,99,90,96,152,188,261,296,294,328,108,107,211,242,510,233,196,160,126,93,61,31,30,303,121
Belarus,99,99,99,99,99,74,99,99,99,99,98,98,99,99,98,99,97,99,99,97,97,906,883,870,869,877,23201,914,941,970,1002,2069,2130,1092,1113,2259,1140,3434,1143,1136,3376,3333
Belgium,96,97,97,97,97,97,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,4567,3408,3404,3416,3443,3482,3532,2392,1215,1233,1247,1258,1265,1267,1267,1264,1260,1255,1250,1246,1242
Belize,95,96,96,97,97,98,98,98,98,98,98,99,99,98,99,96,96,97,98,89,97,350,284,288,218,220,147,147,147,147,147,147,74,74,150,76,305,307,232,156,860,236
Benin,87,88,89,88,87,86,85,84,89,94,91,89,87,85,89,86,84,82,84,84,84,32997,31180,29255,32672,36244,39979,43883,47957,33777,18868,28968,36214,43742,51539,38564,50046,58284,66786,60446,61535,62639
Bhutan,96,95,96,96,95,96,92,97,97,98,97,97,94,98,97,97,99,99,99,99,98,627,768,602,591,726,572,1127,416,410,270,398,392,773,255,379,377,126,126,127,127,254
"Bolivia (Plurinational State of)",86,92,92,91,94,96,88,93,87,85,96,97,97,98,97,87,92,97,93,91,89,33241,19123,19234,21738,14540,9713,29163,17010,31571,36398,9699,7271,7267,4842,7255,31388,19277,7214,16804,21586,26386
