country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998_unvaccinated,1999_unvaccinated,2000_unvaccinated,2001_unvaccinated,2002_unvaccinated,2003_unvaccinated,2004_unvaccinated,2005_unvaccinated,2006_unvaccinated,2007_unvaccinated,2008_unvaccinated,2009_unvaccinated,2010_unvaccinated,2011_unvaccinated,2012_unvaccinated,2013_unvaccinated,2014_unvaccinated,2015_unvaccinated,2016_unvaccinated,2017_unvaccinated,2018_unvaccinated
Afghanistan,27,27,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62,65,66,66,66,636296,659455,708092,641261,627531,591525,511674,437824,444890,397145,390465,404520,373968,353652,366257,401288,425596,394084,385047,387316,389505
Albania,96,97,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98,99,98,99,99,2224,1581,1498,1421,898,1278,1214,773,1115,722,354,702,351,352,353,354,706,350,693,342,337
Algeria,85,83,86,89,86,87,86,88,95,95,93,95,95,95,95,95,95,95,91,91,91,91634,101026,81902,64349,83197,79584,89319,80450,35388,37378,55122,41281,43051,44669,46154,47497,48653,49544,90163,90487,90163
Andorra,89,90,98,96,97,99,99,98,93,96,99,99,99,99,99,96,97,97,98,99,99,75,68,14,27,20,7,7,15,54,32,8,9,8,8,7,25,16,15,10,5,6
Angola,43,13,19,26,27,22,19,15,8,43,41,34,52,46,52,54,55,55,55,52,59,365167,575277,553627,523608,535378,593362,639357,696142,781498,501812,537699,621739,466525,540347,493514,485111,486053,497281,508449,554445,484270
"Antigua and Barbuda",99,99,95,97,98,99,97,99,99,99,99,99,98,99,98,99,99,99,92,95,95,14,15,74,45,30,15,44,15,15,14,14,14,29,15,29,15,15,15,118,74,73
Argentina,84,86,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,86,86,112857,98736,120069,120394,49735,28512,14301,14346,64780,65038,50818,43780,44013,66364,66677,44626,44758,44842,59836,104699,104614
Armenia,82,91,93,94,94,94,91,90,87,88,89,93,94,95,95,95,93,94,94,94,92,7340,3524,2686,2300,2328,2373,3636,4126,5463,5121,4752,3049,2623,2186,2179,2169,3015,2561,2530,2492,3261
Australia,82,88,90,92,92,93,92,92,92,92,92,92,92,92,92,91,92,93,94,95,95,44517,29501,24548,19745,19998,17843,20910,21515,22153,22766,23308,23756,24104,24366,24578,27864,24941,21961,18924,15832,15870
Austria,82,74,81,84,83,84,83,86,83,85,83,83,86,89,92,95,98,93,87,90,85,14877,21105,15190,12636,13295,12415,13116,10764,13055,11531,13112,13183,10942,8689,6404,4065,1653,5886,11113,8678,13187
Azerbaijan,73,75,76,77,76,77,77,75,78,79,81,81,81,87,89,93,94,96,97,95,95,38191,34086,31808,29921,30921,29584,29772,32865,29673,29320,27626,28845,30073,21338,18577,12049,10418,6932,5135,8387,8175
Bahamas,89,82,99,99,94,92,93,93,95,95,93,96,99,98,98,97,96,95,94,94,90,615,970,52,50,296,391,343,346,251,255,363,209,53,105,105,158,211,265,319,320,536
Bahrain,98,97,97,99,98,97,98,98,98,97,97,98,99,99,99,99,98,98,99,97,99,283,431,440,150,309,478,329,339,350,541,558,383,196,201,205,208,422,427,215,650,218
Bangladesh,77,80,82,85,83,87,99,93,94,94,96,97,94,96,94,96,97,98,98,98,98,758330,659254,592341,491851,554297,420654,32055,221970,188057,185851,122503,90920,180161,119152,177483,117575,87666,58121,57809,57494,57166
Barbados,93,87,93,84,87,89,93,92,84,93,85,93,86,91,87,91,94,97,97,90,95,266,489,261,593,478,401,253,286,563,242,510,233,458,289,410,280,184,92,91,303,151
Belarus,99,99,99,99,99,50,99,99,99,95,97,96,98,98,98,98,97,99,98,97,97,906,883,870,869,877,44617,914,941,970,5012,3104,4260,2184,2227,2259,2280,3434,1143,2273,3376,3333
Belgium,79,87,95,95,95,95,95,97,98,98,99,98,98,98,99,99,99,99,98,98,98,23977,14769,5673,5693,5738,5804,5887,3588,2430,2465,1247,2516,2530,2535,1267,1264,1260,1255,2500,2492,2484
Belize,87,87,91,96,89,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,910,923,647,291,806,294,221,294,147,294,441,222,298,375,151,382,384,464,389,938,315
