"country","Sum of WUENIC",Denominator,"Sum of  Vaccinated ","Sum of  Unvaccinated ","Sum of WUENIC","Sum of  Denominator ","Sum of  Vaccinated ","Sum of  Unvaccinated ",,,"Protected with Pol3 and IPV1 percentage","Only Pol 3 percentage","Not protected with Pol 3 percentage",,"Protected with Pol3 and IPV1 absolute","Only Pol 3 absolute","Not protected with Pol 3 absolute",
Sudan,93,1290187,1199874,90313,84,1290187,1083757,206430,,,84,9,7,,1083757.08,116116.83,90313.09,
Myanmar,91,907785,826084,81701,82,907785,744384,163401,,,82,9,9,,744383.7,81700.65,81700.65,
"Democratic Republic of the Congo",79,3244314,2563008,681306,79,3244314,2563008,681306,,,79,0,21,,2563008.06,0,681305.94,
Cameroon,78,839303,654656,184647,78,839303,654656,184647,,,78,0,22,,654656.34,0,184646.66,
Bangladesh,98,2858293,2801127,57166,75,2858293,2143720,714573,,,75,23,2,,2143719.75,657407.39,57165.86,
India,89,23409481,20834438,2575043,75,23409481,17557111,5852370,,,75,14,11,,17557110.75,3277327.34,2575042.91,
Pakistan,75,5634007,4225505,1408502,75,5634007,4225505,1408502,,,75,0,25,,4225505.25,0,1408501.75,
Iraq,71,1088004,772483,315521,92,1088004,1000963.68,87040.31999999995,,,71,0,29,,772482.84,0,315521.16,
Afghanistan,73,1145602,836289,309313,66,1145602,756097,389505,,,66,7,27,,756097.32,80192.14,309312.54,
Indonesia,80,4744310,3795448,948862,66,4744310,3131245,1613065,,,66,14,20,,3131244.6,664203.4,948862,
Yemen,59,830543,490020,340523,59,830543,490020,340523,,,59,0,41,,490020.37,0,340522.63,
Nigeria,57,6976955,3976864,3000091,57,6976955,3976864,3000091,,,57,0,43,,3976864.35,0,3000090.65,
"Syrian Arab Republic",53,419822,222506,197316,59,419822,247695,172127,,,53,0,47,,222505.66,0,197316.34,
Ethiopia,67,3409051,2284064,1124987,52,3409051,1772707,1636344,,,52,15,33,,1772706.52,511357.65,1124986.83,
Somalia,47,585631,275247,310384,42,585631,245965,339666,,,42,5,53,,245965.02,29281.55,310384.43,
Chad,44,605689,266503,339186,41,605689,248332,357357,,,41,3,56,,248332.49,18170.67,339185.84,
Angola,56,1181147,661442,519705,40,1181147,472459,708688,,,40,16,44,,472458.8,188983.52,519704.68,
"South Sudan",50,362351,181176,181176,34,362351,123199,239152,,,34,16,50,,123199.34,57976.16,181175.5,
Nepal,91,548141,498808,49333,16,548141,87702.56,460438.44,,,16,75,9,,87702.56,411105.75,49332.69,
,,60080616,,12715075,,,,18555225.76,,,,,,,,,12715072.149999999,
,,,,,,,,,,,,,,,,,0.21163351837138286,
,,,,,,,,0.3088388068457887,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
